type,angular_direction_error_deg
translation,39.6256588042653
translation,52.64073679050257
translation,11.157596450855376
translation,21.248444197924943
translation,55.537809465833426
translation,44.76789246714
translation,13.51658400613069
translation,94.58400711946665
translation,48.148581708376746
translation,38.68736652538639
translation,15.935404997324593
translation,88.65215483766295
translation,21.030053267673622
translation,18.75400181459537
translation,20.58453838957768
translation,74.87214869403338
translation,34.568199862555126
translation,10.800555563888912
translation,87.49564811937636
translation,19.258996379722923
translation,86.1006317371355
translation,18.15227161585608
translation,43.20557043091561
translation,49.00547610945966
translation,54.56334164604011
translation,82.93580418821195
translation,97.26432145037364
translation,47.8767485570765
translation,42.85618342952548
translation,37.575442002873814
translation,50.85315758623245
translation,37.90223103972893
translation,40.335476611884864
translation,2.3940847235916265
translation,5.051604314473529
translation,34.15154733306498
translation,54.32091224783854
translation,47.0121220933269
translation,35.21515785673206
translation,54.66319861907984
translation,14.139733949555858
translation,19.33741420121399
translation,26.06704516976781
translation,17.4493748767371
translation,31.73793451238221
translation,9.81824391098162
translation,18.32614189410619
translation,20.0312450354888
translation,15.679630285718117
translation,64.30335166762843
translation,13.427585463801353
translation,84.88099275930678
translation,16.582413711543758
translation,25.02530553282675
translation,62.838933859728904
translation,14.923610376217859
translation,71.69779828563608
translation,6.220824409804177
translation,60.58997774701643
translation,58.29658327340743
translation,10.644224135369754
translation,52.95481142391729
translation,19.283257936714605
translation,62.867643005183005
translation,47.24574066277835
translation,74.09560067166572
translation,111.34265499525168
translation,44.919258210047275
translation,28.222277006916578
translation,115.6605379501812
translation,22.233358706753297
translation,9.001874965128538
translation,26.58027240506126
translation,6.390384664438832
translation,72.45909509127046
translation,24.315560340285884
translation,5.151956616917033
translation,75.43542648611627
translation,10.347288569582286
translation,6.716448319684131
translation,55.08189697388472
translation,43.984902351578334
translation,23.580283218455392
translation,116.1875168469867
translation,46.270784266410125
translation,74.14101532278295
translation,55.44126653593803
translation,90.00698183219812
translation,41.7720122567666
translation,87.01792808941525
translation,10.463212763093333
translation,50.50522047957144
translation,46.835037027456096
translation,27.85372061506214
translation,56.82177688647268
translation,44.92464853150578
translation,19.431184605311657
translation,29.53191177981369
translation,55.68254422406534
translation,30.51572278039513
translation,7.894856967889545
translation,25.219683540510232
translation,48.03128550229164
translation,5.365552407805258
translation,6.087465150975061
translation,12.421988282871856
translation,52.97232952133349
translation,31.07994998485692
translation,20.863358850659655
translation,13.883682046987813
translation,65.39368502835859
translation,51.01214031030893
translation,38.79353689049895
translation,60.817783066833655
translation,103.40889419520816
translation,84.0977430571538
translation,32.685139751303176
translation,56.92140971166784
translation,135.81250825983616
translation,49.68069503059255
translation,16.02664560704461
translation,40.68970323874909
translation,58.718171538304894
translation,15.120492755087948
translation,3.396049445454077
translation,41.0301415628859
translation,6.429872555991631
translation,16.48341418753173
translation,10.285019168062595
translation,119.35261417846002
translation,14.324690570416717
translation,24.613362012545476
translation,12.269268644361745
translation,160.00711931813214
translation,9.520722958840723
translation,10.981587933595204
translation,19.35754279798543
translation,132.7828381698688
translation,4.650721629219175
translation,13.352769323518686
translation,4.378842987674546
translation,58.94619587548802
translation,76.62711214656977
translation,19.101225310198892
translation,15.51132992406252
translation,6.337721389519113
translation,30.79438064689254
translation,6.8885579755298165
translation,26.902108858397703
translation,12.18088379293265
translation,12.322509467574001
translation,3.5310363850989663
translation,26.384663434496105
translation,26.044257538886313
translation,12.725038638725565
translation,7.712629056992003
translation,16.093489563356798
translation,130.32489592255004
translation,48.497420080391656
translation,22.714708070901242
translation,17.738141827342524
translation,164.75380079560648
translation,137.06357106875237
translation,48.43543449965839
translation,25.78597428279038
translation,165.0984864898104
translation,168.18278683349416
translation,19.2160954592758
translation,1.683757105396986
translation,117.19850389845438
translation,45.09620200580245
translation,15.938030734010187
translation,14.325784216745566
translation,45.24462894360635
translation,13.965657038502883
translation,34.724280987266425
translation,8.599563610279878
translation,31.60611495462718
translation,10.708371042827443
translation,45.97640970684449
translation,16.245918933774394
translation,16.86987889036332
translation,12.277438110712641
translation,24.599675033288296
translation,2.8697883201799814
translation,49.963061938708854
translation,0.7584436790091845
translation,25.60100014548656
translation,12.275860512113837
translation,49.1227825191374
translation,48.50990014795134
translation,29.313858438339807
translation,18.1065799956628
translation,17.387699758325923
translation,42.237105932714115
translation,11.645654657856163
translation,6.007945583063814
translation,54.22526153622606
translation,10.343860429677703
translation,15.410760077357065
translation,6.6599962876799434
translation,98.5215164181517
translation,43.97801764582042
translation,49.84177647509126
translation,18.058673540272714
translation,39.48469028641746
translation,93.64338551930344
translation,83.83039416609941
translation,10.239808094616542
translation,68.53145511921765
translation,115.02819443247522
translation,0.5185516685748485
translation,43.18070661925631
translation,139.5460466433185
translation,44.2731849630119
translation,11.078154328425239
translation,10.960671398479768
translation,45.78775653219446
translation,17.484038382270814
translation,10.6399118422106
translation,88.86610040687788
translation,9.425599675162216
translation,14.901887727096694
translation,6.438214233595983
translation,111.58218638978136
translation,54.280885566522166
translation,29.473820177610182
translation,43.47033849523789
translation,135.47119442309608
translation,92.0386745647066
translation,23.72987065090367
translation,42.442756417645846
translation,134.85838322284758
translation,16.634307956217146
translation,23.87314240577564
translation,49.902300789643334
translation,71.24508365828913
translation,28.299480888809683
translation,7.461644220567423
translation,39.09955886932526
translation,59.428593596603676
translation,23.975117728296564
translation,23.249799800792797
translation,23.601016751016576
translation,43.2017712210324
translation,19.9915633518117
translation,21.71084941815024
translation,50.14946016710282
translation,16.047963085726007
translation,8.019851673523196
translation,9.054387706277678
translation,141.46155990883352
translation,44.430067455968064
translation,29.467544480347545
translation,2.5743223524134704
translation,171.4490380464131
translation,13.021852988504008
translation,26.43451584022047
translation,8.710312019727317
translation,141.33371149741907
translation,5.062663858607825
translation,16.69874030610214
translation,11.436223727238184
translation,30.45846051684921
translation,7.571369998248152
translation,25.51666354455996
translation,5.331050422044037
translation,0.6695006187269491
translation,12.411998523425352
translation,9.328290383592503
translation,11.040058183644515
translation,8.095409558789429
translation,2.8473098729252864
translation,7.098769336139604
translation,15.786231418123378
translation,10.61447365825109
translation,9.765411254278346
translation,11.547949064888476
translation,7.06992857309054
translation,25.911635682276582
translation,1.1846452667833989
translation,7.427515296191462
translation,11.306571890109574
translation,50.87991604875383
translation,47.65079648997914
translation,13.860896609099983
translation,8.28084614949072
translation,125.81105559745517
translation,7.238105680976531
translation,11.036192380764922
translation,86.13500101623977
translation,22.58319936853032
translation,36.19373654379675
translation,93.00373173133494
translation,85.56907017930585
translation,14.534084848141323
translation,21.52525201028927
translation,96.23336424000773
translation,54.38495764184385
translation,11.168188812115448
translation,13.930306901888093
translation,139.5612084376396
translation,35.867894766581685
translation,32.24221868387461
translation,6.583005744442282
translation,79.43536588883421
translation,28.479828749431338
translation,10.214090626226023
translation,7.963613982453556
translation,89.81151136662234
translation,13.486580827071021
translation,15.949962621073292
translation,7.960156035838171
translation,51.3882740656658
translation,20.874742526776433
translation,25.392271077983946
translation,7.598826462075451
translation,29.157110431049606
translation,17.484248670123073
translation,8.713971447002471
translation,7.537896369388811
translation,43.48044629633624
translation,8.692205287403889
translation,54.61583671627014
translation,18.285104191258487
translation,39.67785709815968
translation,24.457712236915196
translation,36.484996586161465
translation,24.88945928500821
translation,27.33713626217372
translation,41.77493236691188
translation,15.750961612901522
translation,26.15164571046809
translation,51.6811852804025
translation,21.583438061849506
translation,12.411704609012622
translation,15.410094594953367
translation,87.82093691082927
translation,54.21723704608176
translation,23.49071579353763
translation,33.26158130010729
translation,58.13074610634539
translation,44.245311872164685
translation,11.873592210292493
translation,26.198893352394855
translation,41.47794458906576
translation,53.88223681150157
translation,2.946568817964814
translation,24.976394795507066
translation,62.099388707204085
translation,16.633722298378462
translation,14.546080617663078
translation,35.13124156064287
translation,142.66853710339242
translation,35.88710739715474
translation,14.499783920767609
translation,73.64234826860003
translation,18.53899435938013
translation,15.06938027597863
translation,77.42018986184802
translation,42.23351372715749
translation,37.01633775958727
translation,9.852063256250302
translation,106.53787225178115
translation,44.18592765395802
translation,63.27629745249329
translation,14.880356881283364
translation,144.30542368209973
translation,17.462753371070008
translation,49.81332601278659
translation,4.673885392920166
translation,127.97301615969957
translation,31.771383204835615
translation,22.32944931126234
translation,9.921573871321803
translation,58.3758318267816
translation,32.303211076270394
translation,18.17582751876519
translation,18.12503296183883
translation,17.85821961229794
translation,17.732224237959343
translation,3.1831404315442664
translation,10.122116563145775
translation,21.650203417180908
translation,19.421046482186124
translation,12.845211084988128
translation,7.894012430228676
translation,28.59444411244649
translation,18.081680333280506
translation,15.923976840044078
translation,17.90554085090957
translation,27.955047215763408
translation,116.93726101715495
translation,18.864114514871265
translation,29.99920420094423
translation,13.499636503859165
translation,143.44229337346437
translation,5.54553688340161
translation,8.164192402048164
translation,117.13056131600123
translation,105.66750154739486
translation,19.633624250106486
translation,31.330875196780045
translation,141.61188692801448
translation,84.88484071917158
translation,8.352466385697033
translation,46.83432202914499
translation,165.6152360240299
translation,105.13627972371575
translation,10.019684176196721
translation,69.18831934451929
translation,157.02136723740705
translation,107.99301640564026
translation,31.2253697809791
translation,51.36769954808211
translation,92.30995086693302
translation,25.88304801487175
translation,36.41456967038701
translation,15.38684194547286
translation,35.69904976189669
translation,14.300107794445838
translation,18.55804445867399
translation,20.66265507843905
translation,24.493414038837123
translation,10.49473197080518
translation,11.085947150896146
translation,6.980455165988139
translation,3.162623568405386
translation,14.509840074889414
translation,20.307338891980706
translation,14.875727260503137
translation,41.307729497314206
translation,16.476921349480023
translation,23.39277100373763
translation,8.181779992072762
translation,69.53240210776893
translation,34.82692745387718
translation,46.03027383977393
translation,24.15682909232229
translation,55.34627096662504
translation,25.645586347433518
translation,24.167421365414583
translation,26.70629975799721
translation,10.055318195412374
translation,7.542634693665068
translation,27.365935462035377
translation,118.54065622441036
translation,7.183156241561168
translation,50.08815055892132
translation,14.57459134805764
translation,125.93971432197002
translation,5.821890493386706
translation,171.91617281796744
translation,86.76957349165838
translation,113.68514977630646
translation,122.3761174711944
translation,82.90671377458543
translation,70.1652885003271
translation,32.40211466213407
translation,43.48522578749796
translation,47.460945554856266
translation,16.797513774842777
translation,17.413596153271516
translation,17.927361791590123
translation,19.177615726238475
translation,31.614863822333366
translation,22.947325985478056
translation,10.389741349781087
translation,19.261985094447247
translation,29.160217296140267
translation,16.912395729869896
translation,51.206303756395215
translation,34.90414456602881
translation,50.02769163881127
translation,37.83491927303398
translation,35.37553282294793
translation,18.47095939117186
translation,38.71433442391049
translation,11.938940402526324
translation,24.923869446859417
translation,17.59098470551565
translation,60.13058285275755
translation,28.460959332756488
translation,11.606737094180673
translation,48.95822246571663
translation,27.695015275081584
translation,41.25892770164008
translation,24.41234979624089
translation,26.824603781170772
translation,27.696161010007817
translation,18.12389481989157
translation,22.763241843026776
translation,12.938718038067648
translation,14.175023128812011
translation,16.1412114434047
translation,17.03131636431266
translation,15.851226856706665
translation,25.381380551256697
translation,11.822905666831547
translation,11.981488683828998
translation,28.307767110214513
translation,8.079415455752901
translation,16.265136624112714
translation,5.536984198146364
translation,53.69666817000105
translation,43.935933022788305
translation,24.304099763038668
translation,3.756368659180319
translation,45.516155649364656
translation,109.13241239604933
translation,43.172844074027815
translation,4.560854942179056
translation,95.86662899024664
translation,42.918970834322124
translation,9.634540603419731
translation,107.29294829047578
translation,18.463108116796413
translation,21.402377638919535
translation,135.86812419023795
translation,18.884819190231543
translation,17.541290565341395
translation,19.599905416510566
translation,26.477482790289894
translation,28.32656047484736
translation,23.76630104745592
translation,103.96376942977471
translation,31.377507695627113
translation,31.115227651309326
translation,35.4645772399879
translation,58.15837210413956
translation,31.516533089366447
translation,5.676031567688974
translation,20.59938976972981
translation,33.806317953768094
translation,15.527467378741276
translation,7.164746973317448
translation,13.008947851164395
translation,23.751829906260387
translation,47.54831342517978
translation,8.592478259603869
translation,12.750458848120953
translation,21.16891263104829
translation,24.41537990371495
translation,15.203899822093865
translation,18.236623784375908
translation,33.395322258641464
translation,32.61275488920905
translation,17.053134414113277
translation,6.03992891534394
translation,46.46119011328727
translation,21.51832042475687
translation,18.180277530299843
translation,140.71133341305008
translation,54.057293012487804
translation,144.88248349476615
translation,57.1328097841001
translation,64.4517502509445
translation,93.89909895811813
translation,42.87967445590312
translation,21.86801473288625
translation,56.386553176447315
translation,48.637534683226576
translation,12.643881859120619
translation,18.515138253824464
translation,21.66256767464276
translation,46.29493347773994
translation,9.46796582184214
translation,11.918668361708843
translation,27.338764780882094
translation,38.378701453193806
translation,16.22372837064852
translation,19.35924963620938
translation,21.472626154686054
translation,61.657752020557346
translation,41.96304118446862
translation,33.75133780550259
translation,23.450304406223545
translation,86.07414172644896
translation,69.33763519608912
translation,38.028494538361045
translation,20.63462328241196
translation,78.09906911227579
translation,69.71071413930768
translation,12.845364688303944
translation,61.457091332714256
translation,45.03629168014435
translation,53.62236035894168
translation,37.45341467691513
translation,38.19493932629544
translation,44.38935462481066
translation,67.4894684196835
translation,89.87018467089672
translation,74.28181962088362
translation,41.777935000031675
translation,124.20384752239626
translation,95.29205538634193
translation,77.30822911270741
translation,147.99220375902647
