time_s,x_m,y_m,z_m,qx,qy,qz,qw,frame_id,child_frame_id
1786133633.6902294,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133633.754094,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133633.80181,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133633.8496232,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133633.8978374,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133633.9457834,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133633.9938042,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133634.0416908,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133634.089428,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133634.1529026,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133634.2012374,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133634.2489142,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133634.2973256,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133634.3449357,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133634.42527,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133634.552758,0.0006411413578754681,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link
1786133634.7449193,0.008655225818851434,5.4086726360425024e-05,0.0,0.0,0.0,0.0033744217953776837,0.9999943066225662,odom,base_link
1786133634.9366753,0.02500409215607285,0.00014235650500665835,0.0,0.0,0.0,0.0026995392806439425,0.9999963562371976,odom,base_link
1786133635.0486255,0.04007057094270767,0.00024403955056425753,0.0,0.0,0.0,0.003374421795377687,0.9999943066225662,odom,base_link
1786133635.1282673,0.05257209854380534,0.00037903842085324933,0.0,0.0,0.0,0.005399058888326249,0.9999854249753445,odom,base_link
1786133635.1761346,0.060906176952967496,0.0004915362496614809,0.0,0.0,0.0,0.006748805167041566,0.9999772265550938,odom,base_link
1786133635.2395515,0.07244466095546778,0.0007096026070992318,0.0,0.0,0.0,0.009448258378831193,0.9999553642106266,odom,base_link
1786133635.2884285,0.0810977907464632,0.0009081931457733528,0.0,0.0,0.0,0.011472804177770374,0.9999341852163564,odom,base_link
1786133635.3675745,0.09615797024967299,0.001355536191959097,0.0,0.0,0.0,0.01484693856730326,0.9998897781331594,odom,base_link
1786133635.447694,0.11185550338795006,0.0019278677391649864,0.0,0.0,0.0,0.01822090389838615,0.9998339855501641,odom,base_link
1786133635.5590575,0.1352325242022669,0.0030014449948944314,0.0,0.0,0.0,0.022944098195291248,0.999736749528597,odom,base_link
1786133635.639725,0.15380117159454854,0.003954691298713975,0.0,0.0,0.0,0.02564284321809545,0.9996711682306798,odom,base_link
1786133635.7036424,0.16980395618149569,0.004862868566799025,0.0,0.0,0.0,0.028341401368023118,0.9995983018035278,odom,base_link
1786133635.7507663,0.18196416488994976,0.0055859128862149575,0.0,0.0,0.0,0.029690604220035003,0.9995591368303575,odom,base_link
1786133635.8155594,0.19859886597261167,0.006665169415814917,0.0,0.0,0.0,0.03238884518771586,0.9994753437215979,odom,base_link
1786133635.863203,0.21107151182306483,0.0075251243827522555,0.0,0.0,0.0,0.03441237209109488,0.9994077189250962,odom,base_link
1786133635.927283,0.2283346487498988,0.008809054666230862,0.0,0.0,0.0,0.03711018709519056,0.9993111797702255,odom,base_link
1786133635.9910088,0.245912033944863,0.010187948895864751,0.0,0.0,0.0,0.03913337194617337,0.9992339962191651,odom,base_link
